Domicílio,Características do Domicílio - Parte 1,V00001,Domicílios Particulares Permanentes Ocupados
Domicílio,Características do Domicílio - Parte 1,V00002,Domicílios Particulares Improvisados Ocupados
Domicílio,Características do Domicílio - Parte 1,V00003,Unidades de Habitação em Domicílios Coletivos Com Morador
Domicílio,Características do Domicílio - Parte 1,V00004,Domicílios Particulares Permanentes Ocupados
Domicílio,Características do Domicílio - Parte 1,V00005,"Domicílios Particulares Permanentes Ocupados, Quantidade de moradores"
Domicílio,Características do Domicílio - Parte 1,V00006,"Domicílios Particulares Improvisados Ocupados, Quantidade de moradores"
Domicílio,Características do Domicílio - Parte 1,V00007,"Domicílios Coletivos Com Morador, Quantidade de moradores"
Domicílio,Características do Domicílio - Parte 1,V00008,"Domicílios Particulares Permanentes Ocupados, Quantidade de crianças de zero a nove anos de idade"
Domicílio,Características do Domicílio - Parte 1,V00009,"Domicílios Particulares Improvisados Ocupados, Quantidade de crianças de zero a nove anos de idade"
Domicílio,Características do Domicílio - Parte 1,V00010,"Domicílios Coletivos Com Morador, Quantidade de crianças de zero a nove anos de idade"
Domicílio,Características do Domicílio - Parte 1,V00011,"Domicílios Particulares Permanentes Ocupados, Pessoas de sexo masculino no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00012,"Domicílios Particulares Improvisados Ocupados, Pessoas de sexo masculino no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00013,"Domicílios Coletivos Com Morador, Pessoas de sexo masculino no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00014,"Domicílios Particulares Permanentes Ocupados, Pessoas de sexo feminino no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00015,"Domicílios Particulares Improvisados Ocupados, Pessoas de sexo feminino no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00016,"Domicílios Coletivos Com Morador, Pessoas de sexo feminino no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00017,"Domicílios Particulares Permanentes Ocupados, Com 1 morador no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00018,"Domicílios Particulares Permanentes Ocupados, Com 2 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00019,"Domicílios Particulares Permanentes Ocupados, Com 3 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00020,"Domicílios Particulares Permanentes Ocupados, Com 4 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00021,"Domicílios Particulares Permanentes Ocupados, Com 5 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00022,"Domicílios Particulares Permanentes Ocupados, Com 6 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00023,"Domicílios Particulares Permanentes Ocupados, Com 7 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00024,"Domicílios Particulares Permanentes Ocupados, Com 8 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00025,"Domicílios Particulares Permanentes Ocupados, Com 9 moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00026,"Domicílios Particulares Permanentes Ocupados, Com 10 ou mais moradores no domicílio"
Domicílio,Características do Domicílio - Parte 1,V00027,"Domicílios Particulares Improvisados Ocupados, Com 1 morador no domicílio"
